1.26E-04	4.56E+00
1.27E-04	4.56E+00
1.28E-04	4.56E+00
1.29E-04	4.56E+00
1.31E-04	4.56E+00
1.32E-04	4.56E+00
1.34E-04	4.56E+00
1.35E-04	4.56E+00
1.36E-04	4.56E+00
1.36E-04	4.56E+00
1.37E-04	4.56E+00
1.38E-04	4.56E+00
1.39E-04	4.56E+00
1.40E-04	4.56E+00
1.41E-04	4.56E+00
1.42E-04	4.56E+00
1.43E-04	4.56E+00
1.44E-04	4.56E+00
1.45E-04	4.56E+00
1.46E-04	4.56E+00
1.46E-04	4.56E+00
1.48E-04	4.56E+00
1.49E-04	4.56E+00
1.50E-04	4.56E+00
1.51E-04	4.56E+00
1.51E-04	4.56E+00
1.52E-04	4.56E+00
1.52E-04	4.56E+00
1.53E-04	4.56E+00
1.54E-04	4.56E+00
1.55E-04	4.56E+00
1.56E-04	4.56E+00
1.57E-04	4.56E+00
1.58E-04	4.56E+00
1.59E-04	4.56E+00
1.61E-04	4.56E+00
1.62E-04	4.56E+00
1.64E-04	4.56E+00
1.65E-04	4.56E+00
1.66E-04	4.56E+00
1.67E-04	4.56E+00
1.68E-04	4.56E+00
1.69E-04	4.56E+00
1.71E-04	4.56E+00
1.72E-04	4.56E+00
1.73E-04	4.56E+00
1.74E-04	4.56E+00
1.75E-04	4.56E+00
1.77E-04	4.56E+00
1.78E-04	4.56E+00
1.79E-04	4.56E+00
1.80E-04	4.56E+00
1.82E-04	4.56E+00
1.84E-04	4.56E+00
1.86E-04	4.56E+00
1.88E-04	4.56E+00
1.90E-04	4.56E+00
1.92E-04	4.56E+00
1.94E-04	4.56E+00
1.96E-04	4.56E+00
1.98E-04	4.56E+00
2.00E-04	4.56E+00
2.01E-04	4.56E+00
2.03E-04	4.56E+00
2.05E-04	4.56E+00
2.06E-04	4.56E+00
2.08E-04	4.56E+00
2.11E-04	4.56E+00
2.14E-04	4.56E+00
2.17E-04	4.56E+00
2.20E-04	4.56E+00
2.23E-04	4.56E+00
2.26E-04	4.56E+00
2.28E-04	4.56E+00
2.32E-04	4.56E+00
2.35E-04	4.56E+00
2.38E-04	4.56E+00
2.41E-04	4.56E+00
2.44E-04	4.56E+00
2.47E-04	4.56E+00
2.50E-04	4.56E+00
2.50E-04	4.56E+00
2.50E-04	4.56E+00
2.50E-04	4.56E+00
2.50E-04	4.56E+00
2.50E-04	4.56E+00
2.50E-04	4.56E+00
2.50E-04	4.56E+00
2.50E-04	4.56E+00
2.50E-04	4.56E+00
2.50E-04	4.56E+00
2.50E-04	4.56E+00
2.50E-04	4.56E+00
2.50E-04	4.56E+00
2.50E-04	4.56E+00
2.50E-04	4.56E+00
2.50E-04	4.56E+00
2.50E-04	4.56E+00
2.50E-04	4.56E+00
2.50E-04	4.56E+00
2.50E-04	4.56E+00
2.50E-04	4.56E+00
2.51E-04	4.56E+00
2.51E-04	4.56E+00
2.51E-04	4.56E+00
2.52E-04	4.56E+00
2.52E-04	4.56E+00
2.52E-04	4.57E+00
2.52E-04	4.58E+00
2.52E-04	4.59E+00
2.52E-04	4.60E+00
2.52E-04	4.61E+00
2.52E-04	4.61E+00
2.52E-04	4.62E+00
2.52E-04	4.62E+00
2.52E-04	4.63E+00
2.52E-04	4.63E+00
2.52E-04	4.64E+00
